Item,Amount (g),Calories,THg (ng/g),Moderate Hg Increase,Severe Hg Increase,Traditional Food,Food Source,Coastal/Interior,Calorie Citation,Hg Citation,Substituted Hg,Substituted Calories,Notes
Lesser Canada Geese,100,161,2.5,2.5,2.5,1,Game,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,canada goose (cackling) B.c. minima,Canada Goose,Hg from muscle
Lettuce,100,15,0.12,0.12,0.12,0,Store Vegetable,Imported,https://fdc.nal.usda.gov/food-details/169249/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Low Bush Cranberry,100,55,5,5,5,1,Traditional Plants and Fungi,Local,https://www.apiai.org/community-services/traditional-foods-program/nutrition-information/,Golzadeh et al. 2020,Berries,,
Mallard,100,152,89.3,89.3,89.3,1,Game,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,,Wild duck,Hg from muscle
Maple Syrup,100,260,0.24,0.24,0.24,0,Sweeteners and Candy,Imported,https://fdc.nal.usda.gov/food-details/169661/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Margarine,100,727,0.25,0.25,0.25,0,Vegetable Fats,Imported,https://fdc.nal.usda.gov/food-details/172339/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Mayonnaise,100,361,0.23,0.23,0.23,0,Vegetable Fats,Imported,https://fdc.nal.usda.gov/food-details/171443/nutrients,Dabeka et al. 2003,,,Hg Less than value from Ottawa
Milk,100,60,0.13,0.13,0.13,0,Dairy and Eggs,Imported,https://fdc.nal.usda.gov/food-details/746782/nutrients,Dabeka et al. 2003,Whole Milk ,,Used Energy (Atwater specific factors) for calories
Moose,100,130,3,3,3,1,Moose and Caribou,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Golzadeh et al. 2020,,,Hg for muscle
Muskrat,100,162,3,3,3,1,Game,Interior,https://fdc.nal.usda.gov/food-details/172518/nutrients,Antonova et al. 2015,,,Hg from skeletal muscles
Northern Pike,100,88,341,412.61,937.75,1,Non-Salmon,Local,https://fdc.nal.usda.gov/food-details/173680/nutrients,2001-2022 ADEC,,,Hg for fillet
Northern Pintail,100,211,38.5,38.5,38.5,1,Game,Local,https://fdc.nal.usda.gov/food-details/174468/nutrients,Rothschild et al. 2005,,Wild duck,Hg from muscle
Onion,100,40,0.057,0.057,0.057,0,Store Vegetable,Imported,https://fdc.nal.usda.gov/food-details/170000/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Orange Juice,100,46,0.097,0.097,0.097,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/171913/nutrients,Dabeka et al. 2003,"Citrus Juice, canned",,Hg Less than value. 
Oranges,100,97,0.12,0.12,0.12,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/169103/nutrients,Dabeka et al. 2003,"Citrus fruit, raw",,Hg Less than value. 
